NINDEX,sta,ngroups,elev,lat,lon,descr,lddate,DNORTH,DEAST,REFSTA,STANAME,COD,STATYPE,UNDERGROUND,ONDATE,OFFDATE
114,PUL,1,65,59.7728,30.3237,???????,"2015-10-28 07:22:00",0,0,,Pulkovo,,NULL,,2011-01-01,NULL
26,PYA,1,544,44.033,43.058,?????????,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
446,PZG,1,135,61.9803,54.3357,?????,"2015-01-14 05:26:00",0,0,,,,NULL,,2014-01-14,NULL
423,RP2R,1,550,43.682999,40.272202,,"2013-01-28 09:46:00",0,0,,,,NULL,,2013-01-28,NULL
380,RPOR,1,577,43.699501,40.2663,,"2011-10-18 04:16:00",0,0,,,,NULL,,2011-09-22,NULL
283,RSSD,2,2060,44.120399475097656,-104.03600311279297,NULL,"2002-11-28 14:34:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
345,S61,2,248,58.16579818725586,56.092498779296875,???????-????????????,"2010-06-25 17:10:00",0,0,NULL,,,NULL,,NULL,NULL
351,S610,1,248,58.165798,56.092499,???????-??????-?????,"2007-04-14 10:18:00",0,0,S610,,,NULL,,2007-04-14,NULL
352,S611,1,250,58.1679,56.0914,???????-??????-?02,"2007-04-14 10:25:00",240.31,-60.92,S610,,,NULL,,2007-04-14,NULL
353,S612,1,0,58.165501,56.096699,???????-??????-E03,"2007-04-14 10:24:00",-41.21,247.86,S610,,,NULL,,2007-04-14,NULL
462,SHA,1,2120,43.737999,42.657001,Шиджатмаз,"2017-05-19 14:18:25",0,0,,Shidzhatmaz,SHA,NULL,Известняк,2017-05-19,NULL
24,SIM,1,275,44.95,34.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,SKR,1,22,50.68,156.12,??????-????????,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
450,SLV,1,15,65.028,35.702,,"2015-01-14 10:45:00",0,0,,???????,,NULL,,2012-10-14,NULL
125,SOC,2,180.0500030517578,43.569698333740234,39.76259994506836,NULL,"2001-10-09 13:31:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
379,SOCH11,1,200,43.610001,40.060001,,"2011-12-19 07:06:00",0,0,,,,NULL,,2011-09-05,NULL
292,SOKR,4,-120,59.595501,56.7906,?????????,"2012-10-08 11:37:00",0,0,,Solikamsk,SOKR,NULL,????,1999-12-05,NULL
4,SOL,1,218.279999,43.743,42.668999,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
393,SP1,1,0,59.288589,56.635872,,"2011-11-29 11:10:00",0,0,,,,NULL,,2011-09-01,NULL
394,SP2,1,0,59.271469,56.61475,,"2011-11-29 11:11:00",0,0,,,,NULL,,2011-09-01,NULL
395,SP3,1,0,59.278961,56.644909,,"2011-11-29 11:12:00",0,0,,,,NULL,,2011-09-01,NULL
383,SS11A,1,0,59.293129,56.622639,,"2011-11-29 10:55:00",0,0,,,,NULL,,2011-09-01,NULL
384,SS12,1,0,59.292801,56.622871,,"2011-11-29 10:56:00",0,0,,,,NULL,,2011-09-01,NULL
385,SS13A,1,0,59.292599,56.622349,,"2011-11-29 10:57:00",0,0,,,,NULL,,2011-09-01,NULL
386,SS14,1,0,59.29298,56.62196,,"2011-11-29 10:58:00",0,0,,,,NULL,,2011-09-01,NULL
387,SS15,1,0,59.292931,56.622398,,"2011-11-29 10:59:00",0,0,,,,NULL,,2011-09-01,NULL
388,SS21,1,0,59.26947,56.639431,,"2011-11-29 11:00:00",0,0,,,,NULL,,2011-09-01,NULL
389,SS22,1,0,59.269199,56.639961,,"2011-11-29 11:01:00",0,0,,,,NULL,,2011-09-01,NULL
390,SS23,1,0,59.268978,56.639481,,"2011-11-29 11:03:00",0,0,,,,NULL,,2011-09-01,NULL
